TEST,REAL,USER,SYSTEM,TOTAL,BLOCKS,BLOCKSIZE,BYTES,BUFFER
"unittest-time-control",1.356,0.091,0.109,0.2,1024,4096,4194304,128
"unittest-time-control",1.247,0.041,0.061,0.102,1024,4096,4194304,256
"unittest-time-control",1.196,0.01,0.045,0.055,1024,4096,4194304,512
"unittest-time-control",1.165,0.005,0.03,0.035,1024,4096,4194304,1024
"unittest-time-control",1.105,0.004,0.018,0.022,1024,4096,4194304,2048
"unittest-time-control",1.093,0.007,0.006,0.013,1024,4096,4194304,4096
"unittest-time-control",2.064,0.349,0.435,0.784,2048,4096,8388608,64
"unittest-time-control",1.657,0.141,0.271,0.412,2048,4096,8388608,128
"unittest-time-control",1.427,0.08,0.135,0.215,2048,4096,8388608,256
"unittest-time-control",1.304,0.042,0.07,0.112,2048,4096,8388608,512
"unittest-time-control",1.203,0.03,0.042,0.072,2048,4096,8388608,1024
"unittest-time-control",1.176,0.014,0.061,0.075,2048,4096,8388608,2048
"unittest-time-control",1.149,0.006,0.016,0.022,2048,4096,8388608,4096
"unittest-time-control",3.056,0.636,0.924,1.56,4096,4096,16777216,64
"unittest-time-control",2.2,0.322,0.47,0.792,4096,4096,16777216,128
"unittest-time-control",1.739,0.212,0.208,0.42,4096,4096,16777216,256
"unittest-time-control",1.537,0.064,0.143,0.207,4096,4096,16777216,512
"unittest-time-control",1.414,0.028,0.092,0.12,4096,4096,16777216,1024
"unittest-time-control",1.314,0.028,0.055,0.083,4096,4096,16777216,2048
"unittest-time-control",1.296,0.012,0.029,0.041,4096,4096,16777216,4096
"unittest-time-control",5.087,1.23,1.856,3.086,8192,4096,33554432,64
"unittest-time-control",3.383,0.69,0.874,1.564,8192,4096,33554432,128
"unittest-time-control",2.471,0.317,0.479,0.796,8192,4096,33554432,256
"unittest-time-control",1.953,0.166,0.259,0.425,8192,4096,33554432,512
"unittest-time-control",1.728,0.079,0.234,0.313,8192,4096,33554432,1024
"unittest-time-control",1.591,0.012,0.151,0.163,8192,4096,33554432,2048
"unittest-time-control",1.522,0.015,0.063,0.078,8192,4096,33554432,4096
"unittest-time-control",9.195,2.691,3.566,6.257,16384,4096,67108864,64
"unittest-time-control",5.543,1.411,1.739,3.15,16384,4096,67108864,128
"unittest-time-control",3.759,0.627,1.028,1.655,16384,4096,67108864,256
"unittest-time-control",3.021,0.336,0.606,0.942,16384,4096,67108864,512
"unittest-time-control",2.416,0.188,0.278,0.466,16384,4096,67108864,1024
"unittest-time-control",2.166,0.12,0.193,0.313,16384,4096,67108864,2048
"unittest-time-control",2.032,0.024,0.124,0.148,16384,4096,67108864,4096
"unittest-time-control",17.286,5.267,7.145,12.412,32768,4096,134217728,64
"unittest-time-control",10.084,2.637,3.585,6.222,32768,4096,134217728,128
"unittest-time-control",6.527,1.376,1.868,3.244,32768,4096,134217728,256
"unittest-time-control",4.987,0.539,1.267,1.806,32768,4096,134217728,512
"unittest-time-control",3.702,0.32,0.785,1.105,32768,4096,134217728,1024
"unittest-time-control",3.237,0.158,0.472,0.63,32768,4096,134217728,2048
"unittest-time-control",3.059,0.077,0.216,0.293,32768,4096,134217728,4096
"unittest-time-control",34.081,10.89,13.941,24.831,65536,4096,268435456,64
"unittest-time-control",19.152,5.544,7.042,12.586,65536,4096,268435456,128
"unittest-time-control",11.829,2.705,3.777,6.482,65536,4096,268435456,256
"unittest-time-control",8.439,1.232,2.194,3.426,65536,4096,268435456,512
"unittest-time-control",6.581,0.622,1.48,2.102,65536,4096,268435456,1024
"unittest-time-control",5.604,0.307,0.925,1.232,65536,4096,268435456,2048
"unittest-time-control",5.058,0.124,0.521,0.645,65536,4096,268435456,4096
"unittest-time-control",66.127,21.467,28.153,49.62,131072,4096,536870912,64
"unittest-time-control",37.298,10.635,14.584,25.219,131072,4096,536870912,128
"unittest-time-control",22.804,5.205,7.835,13.04,131072,4096,536870912,256
"unittest-time-control",15.546,2.444,4.199,6.643,131072,4096,536870912,512
"unittest-time-control",12.161,1.353,2.505,3.858,131072,4096,536870912,1024
"unittest-time-control",9.786,0.555,1.939,2.494,131072,4096,536870912,2048
"unittest-time-control",9.057,0.262,0.955,1.217,131072,4096,536870912,4096
"unittest-time-control",129.301,43.158,56.683,99.841,262144,4096,1073741824,64
"unittest-time-control",73.566,21.378,29.749,51.127,262144,4096,1073741824,128
"unittest-time-control",44.211,10.617,15.225,25.842,262144,4096,1073741824,256
"unittest-time-control",30.773,5.295,7.991,13.286,262144,4096,1073741824,512
"unittest-time-control",22.684,2.608,4.964,7.572,262144,4096,1073741824,1024
"unittest-time-control",19.029,1.139,3.015,4.154,262144,4096,1073741824,2048
"unittest-time-control",16.957,0.526,1.927,2.453,262144,4096,1073741824,4096
"unittest-time-control",255.983,86.419,114.511,200.93,524288,4096,2147483648,64
"unittest-time-control",144.825,42.388,57.356,99.744,524288,4096,2147483648,128
"unittest-time-control",88.213,21.375,30.444,51.819,524288,4096,2147483648,256
"unittest-time-control",59.08,10.42,16.817,27.237,524288,4096,2147483648,512
"unittest-time-control",45.027,4.876,9.307,14.183,524288,4096,2147483648,1024
"unittest-time-control",37.694,2.306,7.04,9.346,524288,4096,2147483648,2048
"unittest-time-control",32.611,0.92,3.162,4.082,524288,4096,2147483648,4096
"unittest-time-control",521.116,172.285,226.32,398.605,1048576,4096,4294967296,64
"unittest-time-control",289.195,83.581,118.078,201.659,1048576,4096,4294967296,128
"unittest-time-control",176.571,41.401,61.946,103.347,1048576,4096,4294967296,256
"unittest-time-control",118.597,20.009,33.441,53.45,1048576,4096,4294967296,512
"unittest-time-control",87.146,10.403,18.423,28.826,1048576,4096,4294967296,1024
"unittest-time-control",74.004,4.321,12.13,16.451,1048576,4096,4294967296,2048
"unittest-time-control",64.03,1.995,6.746,8.741,1048576,4096,4294967296,4096
